id;totalReg;anomalies;notAanomalie;meanValueAll;meanValue;stdValue;mediaValue;totalTime;dateDir;percentAnomaly;imptEngLoad;imptEngRPM;imptGndSpd;imptBaseCutPrs;imptBaseCutHght;imptChopperHydPrs;imptChopperRPM;imptAboveEngLoad;imptAboveEngRPM;imptAboveGndSpd;imptAboveBaseCutPrs;imptAboveBaseCutHght;imptAboveChopperHydPrs;imptAboveChopperRPM;anomalyAcumulate;totalAcumulate
17;77365;2394;74971;0,044394192477699074;0,42439519855536173;1,6586786477503972;0,08623467542206302;50613;2024-06-21;3,1;37810,14481731483;108815,44135363444;37290,55889812848;34040,52517069205;43165,2868202513;34871,60387078698;40592,995770837995;4345,00225618916;73994,80167288968;4863,8033338595405;3979,540796851332;4956,524613490923;3186,4814359219477;4242,052214267961;125457;704851
18;92064;1480;90584;0,03152280432330662;0,09472901711114856;0,09636469616849586;0,07851279914121076;59459;2024-06-22;1,6;40634,75237556315;42989,44220483964;39594,76766460996;37651,16713948684;42428,04971238662;38351,32698415692;42757,80872660628;1699,4011152071794;3082,4904933354196;2027,2749158969068;1972,55571414099;1810,7116638531238;1549,7281970710767;1597,3345422962905;126937;796915
19;77939;5224;72715;0,044691421395639724;0,14557351939944746;0,34334716630524104;0,08785384310214459;57334;2024-06-23;6,7;42322,81596028546;65215,15407985854;40277,9751680833;39117,18670772352;61198,34327164661;44542,089520757414;48680,49512281569;6840,394666118347;29242,443180374434;6713,190249421167;5589,032360562784;12173,774924422642;7915,501649705929;6052,317372980621;132161;874854
20;87838;3275;84563;0,03492034330878485;0,12633256086713254;0,22617930459039168;0,08547929995998468;50199;2024-06-24;3,7;41531,90950080011;49740,42554304909;42818,89378990479;37505,420949511565;46909,716899186504;38509,08403820248;43583,19460393675;3799,522801941096;10620,000425362923;6109,063442129022;4210,478211069823;8450,487256503584;3627,070615814187;3729,812657485587;135436;962692
21;76812;972;75840;0,029990745487949562;0,1708182937743249;0,45776668989774894;0,10948340831284917;59665;2024-06-25;1,3;32544,38858755233;38271,113831271316;32785,06683945056;27217,75257812921;32211,263137143498;28884,823829524234;33843,20715412744;1468,7103150879457;5943,859021051526;2228,448433738454;921,04498964315;3216,9390592788027;1211,6754280877026;1280,7901448795017;136408;1039504
22;73382;1036;72346;0,031219180375723223;0,1951229636595499;0,33170745591814516;0,0925656188281399;51679;2024-06-26;1,4;31632,430230644517;39110,217697678934;31880,115248109978;28250,322556903793;28495,8901321447;29805,505674833952;35336,2561041552;1935,4241973350659;7332,337248648771;1849,4693441969894;1565,317108624772;2004,7036676537095;2187,6729214156653;2935,5197665518094;137444;1112886
23;75910;3590;72320;0,03807967963918449;0,17099826269715737;0,4556684339570366;0,08322700094542326;46320;2024-06-27;4,7;37394,477655856834;60127,27158322899;37009,673304975084;35913,12464127549;40506,569713655255;33706,73128467182;38623,742994563756;4648,46961132215;26743,41145456487;4949,717192867211;6177,009537479996;8873,202420765685;4240,688937425834;4528,10962768818;141034;1188796
24;85982;2890;83092;0,04823124066865997;0,4794109944055034;0,8213171314052805;0,09052567970573647;61058;2024-06-28;3,4;45492,284018916434;129946,24442172835;42390,4160021235;41846,61567272884;57567,10946022471;40302,08843189027;48863,05843931914;6235,413079516471;90469,06689375764;6917,192475374889;5723,635357253332;14921,044350170332;4001,9628446742886;7510,466834779678;143924;1274778
25;57466;11795;45671;0,05700408751167066;0,13215804937234946;0,2358321731044127;0,10411679496343891;42544;2024-06-29;20,5;39533,804759869185;48334,72116813849;44577,48452350152;38832,97363568465;71353,50740624267;34609,72379877708;43785,88021646312;14871,307981020784;25405,038808532372;20706,394118225508;17467,182257319022;40469,894932222385;13071,410874200614;20771,5818784721;155719;1332244
26;62526;5174;57352;0,04369188515947911;0,12480482117250957;0,3299395412036459;0,07896807078653253;33883;2024-06-30;8,3;30262,192228570468;51691,83220973937;30390,2624632233;28212,337706562663;63294,697225668555;28851,82641769887;35020,97527372727;5124,60085574816;22830,39052671751;4942,303450065472;4809,307592274134;14375,772192362778;5229,664538534492;5970,495029461071;160893;1394770
